"X1" "X2" "X3" "X4" "X5" "X6" "X7" "X8" "X9" "X10" "X11" "X12" "X13" "X14" "X15" "X16" "X17" "X18" "X19" "X20" "X21" "X22" "X23" "X24" "X25" "X26" "X27" "X28" "X29" "X30" "X31" "X42" "X43" "X44" "X45" "X46" "X48" "X49" "X50" "X51" "X53" "X54" "X56" "X57" "X58" "X61" "X62" "X71" "X72" "X81" "X82" "X83" "X84" "X85" "X90" "X91" "X92" "X93" "X95" "X96" "X97" "X99" "X100" "X101" "X102" "X103" "X104" "X112" "X113" "X114" "X115" "X116" "X117" "X118" "X119" "X120" "X121" "X122" "X123" "X124" "X125" "X126" "X127" "X128" "X129" "X130" "X131" "X132" "X133" "X134" "X135" "X136" "X137" "X138" "X139" "X140" "X141" "X142" "X143" "X144" "X145" "X146" "X147" "X148" "X149" "X150" "X151" "X152" "X153" "X155" "X156" "X157" "X158" "X159" "X161" "X166" "X167" "X171" "X172" "X173" "X174" "X177" "X178" "X179" "X180" "X181" "X182" "X183" "X184" "X185"
"k__Bacteria;p__Actinobacteria;c__Actinobacteria (class);o__Coriobacteriales;f__Coriobacteriaceae;g__Eggerthella" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000274363476733977 0 0 0 0 0 0 0 0 0 0 0 3.07323519468945e-05 2.93720260823592e-05 5.22097788915864e-05 8.64055299539171e-05 3.07995564863866e-05 2.79189234463119e-05 7.43356253484482e-05 0.000177797533059229 5.65930956423316e-05 0.00146733254389126 0.000374802559366048 0.000208749589956163 3.56544371947089e-05 0.000120849572494637 7.27554930397245e-05 0.000114305309481625 0.000291928185666326 0.00117901355865592 8.00149361214093e-05 0.000339422364848186 0.000188786105342647 0.000118557159370461 7.0237872260723e-05 0.000320270191579806 0.000245416840503595 0.000406431782965428 0.000187664206180408 0 3.46488340667337e-05 0.000108192322672783 0.000133379571584816 7.61305384966756e-05 0.00019471488178025 0.000290723028171061 5.48531307424371e-05 3.21874597656753e-05 6.04302634759488e-05 0.000148768937045945 2.49787680471599e-05 4.80111385841515e-05 0.00126712599984161 0.0001304495290772 0.000406658352762566 0.000233392653966216 0.00119379228014326 0.000220577914135034 3.44815696010482e-05 0.000546636745497439 0.00115443447141332 0.00131565631009007 0.00116855861871602 4.27021948928175e-05 2.55983617048509e-05 0.00038550501156515 6.81477443096634e-05 0.00103038153556288 0.000128057369701626 0.000770395558271126 0.000212992545260916 0.00038082802894293 0.000141346751851642 0.000165013097914647 4.93534695489093e-05 0.000114266125807005 0.00017698723479569 0.000780346043107392 0.00119428912654036 0.00118871513102282 0.00153011858419027 4.70090492419791e-05 0.00051559680329982 0.000644932443326562 0.000875221762270846 9.26240390255951e-05 0.00867224880382775 0.000107359493263192 6.62251655629139e-05 0.0010406582768635 0.000638131927867458 0.000446565631192609 0.000388772257211725 0.0005420613819984 0.000954253657972356 4.95662949194548e-05 0.00021157508030236 9.3051387628818e-05 2.45368666421298e-05 5.77600646912725e-05 0.000346830833261077 0.000834050796383986 0.00110942742721074 0.000100457079712693 0.000282189792792066 2.67336790889162e-05 0.00018017554245708 0.000393617343385715 0.000235091293785753
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__;g__" 0.190390942519837 0.126192203326079 0.0545097915150748 0.0462112062175077 0.0225728820787766 0.0124561356513354 0.0194643119323783 0.0559731789727337 0.0604000682211339 0.0440979582728997 0.0528493632348527 0.0279057793795855 0.0209183409947833 0.0300309524372091 0.0327755779793077 0.0316838933168108 0.0250800250800251 0.0326817606525102 0.0577133007756392 0.0425784169695095 0.0349333173134687 0.0583022388059702 0.00987091875474563 0.0216815164441303 0.0218709275313049 0.0573292514031635 0.0394598294198168 0.0331294009003809 0.0281149983445536 0.0204100423546744 0.0305773672055427 0.00633071663712332 0.0195647140541792 0.0190847905590215 0.0350701991423368 0.0250345889785157 0.0370391705069124 0.0647098681778982 0.0430788988776593 0.057387102769002 0.0644071563507056 0.0433786078098472 0.0161921433352211 0.0651085588841592 0.0676646885157904 0.0402182051556316 0.0211184627934379 0.0167095115681234 0.0450648682631308 0.0160852430302146 0.013699014681526 0.0157896140612914 0.0327696864971612 0.0333207475929772 0.0254601499748066 0.0254026971342948 0.022913876433937 0.0233636832159423 0.0283232148754033 0.0149193043913424 0.0203676721331804 0.0149682963168289 0.0132211018306141 0.00445487769093286 0.0115210881591636 0.0157719054242003 0.0273279646480798 0.0123419544170484 0.0196021629972963 0.0387660140198211 0.0477052391460663 0.0305740120897237 0.0272943322850901 0.0207227897890763 0.0177672258603146 0.0126064089356395 0.0103276249380051 0.00868815492770924 0.0109687380938058 0.0105513602979208 0.00405662005869152 0.0147479003723051 0.00883007792733529 0.00908613946389392 0.0237637714578529 0.012696787405606 0.0135440760729889 0.0181272999863705 0.0115697126707489 0.0202970930977078 0.0107589724517175 0.0176251331203408 0.0163484032424786 0.013512749477017 0.00839504135640766 0.022307768236107 0.0224247271896246 0.0127652043096392 0.0144229475553642 0.00757287877965366 0.0243026204564666 0.0266645665039041 0.0238570924903044 0.0149991797323584 0.0086098481184096 0.0126788882318155 0.0169501991416839 0.00717703349282297 0.0189757904342692 0.00955849889624724 0.0058325266214908 0.0142752475715535 0.00946160931089341 0.0113003136096208 0.0231537647453602 0.00980278757735238 0.00421313506815366 0.0159643015137235 0.0148416963267965 0.00954484112378849 0.00482296540172125 0.0164166594410243 0.0125645716745588 0.0133401883320706 0.0298357526746697 0.0172942030153995 0.0126984975672352 0.0226506396231757 0.0286735095527901 0.0202178512655748
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides" 0.576761176698278 0.310604228795572 0.396785725584485 0.36756288399937 0.341273951320559 0.3336904985133 0.46594794135537 0.584876502789492 0.586238822698146 0.546942987838893 0.560825007503966 0.536594156262067 0.571716336966066 0.578881459253834 0.500370417677864 0.526008955980511 0.398145398145398 0.610997046828857 0.543349612180408 0.65777468491456 0.527093596059113 0.574352502194908 0.517329218409386 0.6409550973018 0.489517819706499 0.57708287776077 0.583605349057597 0.566864827426988 0.532833020637899 0.564053772021362 0.556143187066975 0.630514054190934 0.542718221810604 0.514244445127386 0.448804558538448 0.493434620304383 0.463623271889401 0.427651841813478 0.546540845385002 0.545549154432262 0.51012334703856 0.588398415393322 0.394480770220872 0.505688967418949 0.467748188351773 0.49360002852355 0.514879603613402 0.499369452393656 0.650597245242042 0.479988322872573 0.477584706509839 0.647187474995332 0.647864724759319 0.54282298156189 0.612614481757017 0.50454204907286 0.461771385314156 0.487520553660392 0.492493713008357 0.424965594895534 0.605387977803267 0.460413707078757 0.659583675942355 0.534238536025822 0.580419225498655 0.623532684283727 0.577172427828008 0.56696195935383 0.730977211278486 0.646150592216582 0.617490268032035 0.674451716041365 0.647934320762417 0.471397270399409 0.598371989877117 0.659030526487014 0.621874726492984 0.560651280010611 0.5357436483587 0.600151718906245 0.425283387997008 0.525873762590551 0.50657828155045 0.636506725174091 0.699333845759672 0.585562523998464 0.645746594705731 0.584185180137204 0.400553462081959 0.578403124599821 0.575698004941158 0.571805111821086 0.532860018497361 0.605755639735399 0.502898042532126 0.53279538051525 0.554047877506713 0.638791177186345 0.571912924144983 0.402339720970631 0.418427726120034 0.501991404333836 0.501469032788812 0.510253345520167 0.476250362774499 0.568444707273802 0.57040970699929 0.301973684210526 0.532288367598905 0.592097130242826 0.418804453049371 0.525513459856775 0.479360294733317 0.441748956794443 0.472987274463746 0.542507662946041 0.587211895910781 0.646496509011175 0.599460301951753 0.535050913998282 0.398862126725582 0.379259516170988 0.414684674989238 0.611375690009741 0.578105379476619 0.422196242844473 0.597711597069989 0.690175285063447 0.65791625034063 0.540579369432908
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella" 0.000193535900909619 0 9.49096776234617e-05 0.000183794570183269 0 0.000214299107979963 0 0 0.000560387885875789 0.00337498605377664 0.000257278847390764 0 0.000748928257837922 0.00297710464759114 0.00258015072167582 0.0038583941194694 0.000198000198000198 0.00438756855575868 0.00453892559609308 7.73215804531045e-05 0 0.0338838893766462 0.00377201361843878 0.00323077311390999 0.000481613689160859 0.000400903855966178 0.00010529640939244 0.00014429181576821 0.00358680057388809 0.00015345896507274 0.000184757505773672 0 0.000231535077564251 6.1464703893789e-05 0 0 0 0.000893187138105211 0.000307108157909431 0.000910611410518491 0.000955661740193355 0 0.000489110847963754 5.35432227665783e-05 0.002385709599499 0.00196099404570899 0.000604247862473187 0.00106708056458263 0.00877293250271475 0.000846591738432346 0.000926367796086798 0.000320059744485637 3.08565786225623e-05 3.14643508904411e-05 8.89178695278461e-05 0 0.000291154719618005 0.000589000417208629 0.000177813905047375 0.00112598523708245 0 3.46488340667337e-05 0 5.33518286339264e-05 0 5.56328233657858e-05 0.000116289211268425 5.48531307424371e-05 3.21874597656753e-05 6.04302634759488e-05 0.000694255039547742 4.99575360943198e-05 0 0 0.0002608990581544 0 0 0.017608436132113 0.000802101505945577 0.000137926278404193 0.006674722366074 5.77217235706658e-05 0.00283372128327092 0.0144281217208814 0.00164403450337347 7.67950851145527e-05 0.000539707016191211 4.54318295397756e-05 0.000883184173339614 0.000224100396977846 0.00406450070398215 0.000479233226837061 0.00119688809096349 0 0.0583115034755884 0.000271444082519001 0.000114266125807005 6.63702130483839e-05 0.000349810295186072 0.0330600944574127 0.000158495350803043 0.000787561035980289 0.00862616053590316 0.00035154327497715 0.00132211150881945 0.0101714961561206 0.000864491030905554 0.0014055023923445 5.36797466315959e-05 0 0.00258954501452081 4.72690316938858e-05 0 2.59181504807817e-05 7.74373402854857e-05 0.000694002660343531 0.000198265179677819 0.000173106883883749 4.6525693814409e-05 0.000196294933137038 0.00277248310518108 0.000346830833261077 0.000242143779595351 0.00446476891438467 5.02285398563464e-05 0.00417237765056841 0 0 0.00121113028734066 0.000182848784055586
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000301799824407375 0 0 0 0 0 0 0 0 0 0 5.78837693910627e-05 0.000245858815575156 5.87440521647183e-05 0.000234944005012139 0.000633640552995392 0.000246396451891093 0.000418783851694679 0.000427429845753577 0.00117790865651739 0.000141482739105829 0.000128713381043093 0.000696061895965518 0.00104374794978081 0.000713088743894178 0.000241699144989275 0.000679051268370762 0.000114305309481625 0.00067143482703255 0.000112287005586279 0.00034673138985944 0.000123426314490249 0.00125857403561765 0.000622425086694923 0.000280951489042892 0.000786117742968614 0.00105529241416546 0.000889069525236874 0.000156386838483673 0.000837027621911523 0.000450434842867538 0.000238023109880123 0.000293435057486595 0.000786682231132315 0.00144645340751043 0.000668662964793441 0.000466251611310716 0.000193124758594052 0.000120860526951898 0.000768639508070715 0.000349702752660239 0.000312072400796985 0.000554367624930704 0.00031307886978528 0.00059643225071843 0.00172127082300085 0.000895344210107441 0.000401050752972789 0.000344815696010482 2.8770355026181e-05 0.000461773788565327 0.00020240866309078 0.000262329485834208 0.000789990605517124 0.000153590170229105 0.00038550501156515 0.000159011403389214 0.000147197362223269 0.000800358560635165 0.000611003373801238 0.000665601703940362 0.000652848049616452 0.00093288856222084 0.000453786019265279 0.000740302043233639 0.000971262069359538 0.000353974469591381 0.000726529074617227 0.000190000542858694 0.000369822485207101 0.000517540109358475 0.000329063344693854 0.00042185192997258 0.000386959465995937 0.000473092844470727 0.000493994874803174 0.000179425837320574 0.000644156959579151 0.00022075055187638 0.000169409486931268 0.0004963248327858 0.000641938094839376 0.00031101780576938 0.000438811594951085 0.000173500665085883 0.000198265179677819 0.000615491142697775 0.000116314234536023 0.000269905533063428 0.000259920291110726 0.000404635972137923 0.000834050796383986 0.000297651260958978 0.000803656637701542 0.000362815447875514 0.000267336790889162 0.000231654268873388 0.000666121658037363 0.000261212548650837
"k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes" 0 2.68665538271406e-05 0 0 0 0 0 5.23848188794887e-05 0 0 0 0 0 2.36278146634218e-05 5.10920934985311e-05 0.000112653842904216 0 0.000168752636759949 0.00011490950876185 0.000257738601510348 9.01117385558092e-05 0.000192054433713784 0.000146961569549563 7.57212448572654e-05 5.66604340189246e-05 0.000182229025439172 0.000184268716436769 0.000202008542075493 0.000137953868226465 0.000184150758087287 0.000184757505773672 5.06457330969866e-05 0.000115767538782125 0.000338055871415839 0.000205604182576514 0.000234944005012139 0.000288018433179724 0.000400394234323026 0.000167513540677871 0.000167255157034009 0.000600066674074897 0.000311262026032824 0.000102970704834475 0.000428345782132627 0.000208749589956163 0.000427853246336507 0.000151061965618297 0.00048503662026483 8.57289821112191e-05 0.000437892278499489 0.000196502259775987 0.000400074680607047 6.17131572451247e-05 0.000125857403561765 0.000148196449213077 0.000163888368608354 0.000174692831770803 0.000589000417208629 0.000279421850788732 0.000281496309270612 9.30030691012803e-05 0.000554381345067738 0.000281300038949236 0.000133379571584816 0.000279145307821144 0.000528511821974965 0.000290723028171061 0.000109706261484874 0.000128749839062701 0.000120860526951898 0.000173563759886936 0.000174851376330119 0.000264061262212833 0.000211187666640268 0.0001304495290772 0.000271105568508377 0.00029174081745777 0.00935137286112217 0.000160420301189115 0.000103444708803145 0.00264687266240865 0.000259747756067996 5.06021657726951e-05 0.000238481350758371 0.000384319754035357 0.000127991808524254 2.57003341043434e-05 0.000249875062468766 0.000176636834667923 0.000416186451530286 7.96960922349441e-05 0.000346112886048988 0.000190414014471465 0.000395770905184599 0.000185639735153978 2.46767347744546e-05 0.000199965720162258 0.000309727660892458 0.000295993326695907 0.000108571738776397 7.92476754015216e-05 0.000315024414392115 0.000164531672346927 0.00016405352832267 0.000419206088162265 0.000212891780011827 0.000123498718700793 8.97129186602871e-05 0.000161039239894788 8.83002207505519e-05 0.000629235237173282 0.000118172579234714 0.000223282815596305 0.000181427053365472 0.000283936914380114 0.000173500665085883 0.000198265179677819 7.69363928372218e-05 0.000162839928350432 9.81474665685192e-05 8.66400970369087e-05 0.000202317986068962 0.000780241067585019 0.000189414438792077 0.000200914159425385 0.000181407723937757 0.000320804149066995 7.72180896244627e-05 9.08347715505496e-05 0.000156727529190502
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter" 0 0 0 0 6.0925457702501e-05 2.67873884974954e-05 0.00014682131845544 0.000576233007674376 0.00014618814414151 0.000585741381233962 6.43197118476909e-05 0.000128716694555284 2.58251123392387e-05 0 5.10920934985311e-05 5.6326921452108e-05 0.000165000165000165 0.000309379834059907 0 2.57738601510348e-05 3.00372461852697e-05 2.74363476733977e-05 2.44935949249271e-05 0.000100961659809687 0.000708255425236557 0 0.00013162051174055 2.88583631536419e-05 0 0.000184150758087287 0.00046189376443418 0.000101291466193973 0 3.07323519468945e-05 8.81160782470775e-05 5.22097788915864e-05 0.000144009216589862 3.07995564863866e-05 0.000111675693785248 9.29195316855603e-05 8.88987665296144e-05 0.000396151669496321 0.000180198733460331 0.000348030947982759 0.000208749589956163 0.000106963311584127 0.000785522221215142 0 0.00105732411270504 0.000321121004232959 8.42152541897089e-05 0.000106686581495212 0.000154282893112812 6.29287017808823e-05 0.000918817985121076 0.000374601985390523 8.73464158854015e-05 0.000147250104302157 0.000381029796530089 0.0110721881646441 0.000155005115168801 0.000103946502200201 0.0011468386203315 0.00245418411716062 0.000659798000304522 0.000278164116828929 0.000668662964793441 5.48531307424371e-05 6.43749195313506e-05 0.000392796712593667 4.95896456819816e-05 0.000599490433131838 0.000120027846460379 0 0.0003913485872316 0.000162663341105026 0 0 0.000220577914135034 0.000448260404813627 5.7540710052362e-05 0.000288608617853329 0 0.000143088810455022 0.00034161755914254 0.000819147574555228 0.000334104343356464 2.27159147698878e-05 0.000176636834667923 0 0.00085009165050607 0.000106496272630458 2.72020020673522e-05 0.000339232204443942 0.000144386460675316 0.000345474286842365 0.000342798377421014 4.42468086989226e-05 0.000672712106127062 0.000108571738776397 0.000237743026204565 9.00069755406044e-05 9.40180984839582e-05 0.0002343621833181 0.000515945954661249 0.000141927853341218 6.17493593503967e-05 5.98086124401914e-05 0 0.000154525386313466 0.000193610842207164 9.45380633877715e-05 0.000446565631192609 0 0.000929248083425828 5.78335550286276e-05 0.00106567534076828 0 9.3051387628818e-05 0.000785179732548154 0.000115520129382545 5.78051388768462e-05 5.38097287989669e-05 5.41184110834506e-05 0.000175799889497212 0.000141094896396033 0.000320804149066995 0.000154436179248925 0.000151391285917583 0.000391818822976256
"k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus" 2.41919876137023e-05 0.000107466215308562 0.000854187098611155 0 0.000335090017363755 0.000133936942487477 0.00249596241374248 0.000104769637758977 0.00155934020417611 0.000251032020528841 0.000621757214527679 0.000437636761487965 0.000439026909767057 0.00025990596129764 0.000536466981734577 5.6326921452108e-05 0.000297000297000297 0.000140627197299958 0.000258546394714163 0.000360834042114487 6.00744923705395e-05 0.000274363476733977 0.000146961569549563 0.000328125394381484 0.00062326477420817 0.000145783220351338 2.63241023481099e-05 8.65750894609258e-05 0.000248316962807637 0.000122767172058192 0.000184757505773672 0.000405165864775893 0.000434128270432971 0.000430252927256523 0.000176232156494155 0.000339363562795312 0.000115207373271889 3.07995564863866e-05 2.79189234463119e-05 7.43356253484482e-05 0.000822313590398933 0.000311262026032824 0.00486536580342892 0.000749605118732097 0.000805176989830913 0.000213926623168253 0.000302123931236593 0.000145510986079449 0.000371492255815283 0.000233542548533061 0.000308789265362266 0.00128023897794255 0.000894840780054308 0.00179346800075514 0.000355671478111384 0.000187300992695261 0.000174692831770803 9.81667362014381e-05 0.000177813905047375 0.000969598398598774 0.000310010230337601 0.000346488340667337 0.00335396200285628 0.00109371248699549 0.000761305384966756 0.00166898470097357 0.000668662964793441 0.000164559392227311 0.000160937298828376 0.000151075658689872 0.000272743051250899 0.000374681520707399 4.80111385841515e-05 5.27969166600671e-05 7.826971744632e-05 0.000406658352762566 0 0.000232126276694522 0.000180472838837755 0.000517223544015724 0.00103573278094252 0.000288608617853329 0.000480720574840603 0.000238481350758371 0.00051242633871381 0.00028158197875336 0.00015420200462606 0.00020444323292899 0.000765426283560999 0.000160071712127033 0.00154079111654225 0.000372736954206603 5.44040041347043e-05 0.00093288856222084 0.00070130566613725 0.000592241634586911 0.000114266125807005 0.000309727660892458 0.000484352716411485 0.000515715759187883 0.000581149619611158 0.000112508719425756 0.000164531672346927 0.000585905458295249 0.000902905420657186 0.00158486102897694 0.000463120195127976 0.000358851674641148 0.000161039239894788 0.000618101545253863 0.000435624394966118 0.0001654416109286 0.000251193167545843 0.000414690407692507 0.0005420613819984 0.00060725232780059 0.000520446096654275 0.00225038949048874 0.00165166213041152 0.000171758066494909 0.000635360711603997 0.000606953958206885 0.000215238915195867 0.000135296027708626 2.51142699281732e-05 0.000201564137708619 8.02010372667486e-05 0.00350055339630898 0.000938625972689012 0.00070527388135726
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__" 0.00152409521966325 0.00282098815184976 0.00414438925622449 0.0106863414377987 0.00527005209126634 0.0028930379577295 0.00291545189504373 0.00288116503837188 0.0015106108227956 0.00164565435680018 0.00214399039492303 0.00311494400823787 0.00242756055988844 0.00255180398364955 0.00183931536594712 0.00149266341848086 0.00122100122100122 0.00151877373083954 0.000718184429761563 0.00113404984664553 0.000841042893187553 0.00458187006145742 0.00159208367012026 0.00118629950276383 0.00331463539010709 0.0010569283475472 0.00173739075497526 0.0021355188733695 0.00162785564507229 0.00245534344116383 0.000993071593533487 0.0015193719929096 0.00286524658485761 0.00368788223362734 0.00167420548669447 0.00279322317069987 0.00311059907834101 0.00163237649377849 0.00298732480875537 0.00397695595614198 0.00820091121235693 0.00582908885116016 0.0238634608453895 0.00725510668487136 0.0111830137476516 0.00352978928227618 0.0113900722076196 0.0152301498763157 0.00477224667085786 0.00423295869216173 0.00328439491339865 0.00445416477742512 0.00481362626511972 0.00827512428418602 0.00806188683719138 0.00416744708746956 0.00681302043906132 0.00949763172748914 0.00856046942870932 0.00985237082447141 0.00626220665281954 0.00796923183534874 0.00499848530748258 0.0051484514631739 0.00360351215550931 0.00506258692628651 0.0104369567113411 0.00493678176681934 0.00164156044804944 0.00154097171863669 0.00369442860330763 0.00242294050057451 0.00218450680557889 0.00525329320767667 0.00477445276422552 0.00520522691536084 0.00589316451264696 0.00520626077729142 0.0043714532074034 0.00379297265611531 0.00353875366822027 0.00744610234061589 0.00999392774010728 0.0044357531241057 0.00213510974464087 0.00345577883015487 0.00501156515034695 0.00345281904502294 0.00841968911917098 0.00419387885772826 0.00855404723321733 0.00433972310969116 0.00807899461400359 0.00491886696443716 0.00670365710278253 0.0050587306287632 0.00554190710163972 0.00387159576115573 0.00505879503807551 0.0117257477878508 0.00755494505494505 0.00501788888638869 0.00611117640145728 0.00548407508964354 0.012092483312373 0.00447072738024837 0.00586618913828769 0.0111842105263158 0.00563637339631757 0.00437086092715232 0.0119312681510165 0.00697218217484815 0.00630773954059561 0.0121037762745251 0.00498180222503291 0.00772077959632179 0.00223048327137546 0.00307745571348887 0.00483867215669854 0.00628143786038523 0.00759544850690233 0.00474002138790138 0.0107081360309944 0.0105260309557311 0.00489728263599377 0.0126380714343304 0.00689728920494038 0.00298576613214589 0.00278559966088352 0.0046495833659849
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium" 0.000459647764660344 0.000510464522715671 0.000632731184156411 0.00567137530851231 0.00173637554452128 0.00133936942487477 0.00111164712544833 0.000733387464312842 0.000706576030017299 0.000334709360705121 0.000364478367136915 0.000695070150598533 0.000800578482516399 0.000543439737258701 0.000153276280495593 0.000337961528712648 0.00033000033000033 0.000675010547039797 0.0002298190175237 0.000206190881208279 0.000390484200408507 0.000246927129060579 0.000440884708648688 0.000580529543905702 0.000708255425236557 0.000218674830527006 0.00100031588922818 0.00101004271037747 0.000634587793841739 0.00073660303234915 0.000554272517321016 0.000177260065839453 0.000405186385737439 0.000153661759734472 0.000264348234741232 2.61048894457932e-05 0.000864055299539171 0.000123198225945546 0.000474621698587302 0.000446013752090689 0.00086676297366374 0.000367855121675156 0.00226535550635844 0.00107086445533157 0.00110339068976829 0.0012122508646201 0.00223571709115079 0.00104282873356938 0.000857289821112191 0.00166399065829806 0.00109479830446622 0.000880164297335503 0.000462848679338435 0.00191932540431691 0.00127448946323246 0.000678966098520322 0.000524078495312409 0.000466291996956831 0.00109228541671959 0.00100087576629551 0.000372012276405121 0.000485083676934271 0.00287791578309603 0.00160055485901779 0.000634421154138964 0.000890125173852573 0.000784952176061866 0.000301692219083404 0 0.000181290790427846 9.91792913639632e-05 0.000499575360943198 0.000432100247257364 0.00113513370819144 0.0001304495290772 0.000271105568508377 0.000612655716661318 0.000994826900119379 0.000942469269486054 0.000965483948829351 0.00135220668623051 0.00181823429247597 0.00222649529399858 0.000953925403033483 0.000533777436160219 0.000665557404326123 0.00107941403238242 0.000567897869247195 0.00238459726801696 0.00019208605455244 0.00148766038838562 0.000718849840255591 0.00261139219846581 0.000452309605925256 0.000763185577855242 0.000172737143421183 0.000799862880649032 0.000442468086989226 0.002610122971773 0.000895716844905271 0.00118871513102282 0.00155262032807543 0.000634622164766718 0.000796831423281539 0.000870658798490858 0.000662329982259018 0.000524869554478372 0.00158492822966507 0.000456277846368565 0.000463576158940397 0.00145208131655373 0.0013235328874288 0.00147924865332552 0.000673871912500324 0.0007227485093312 0.00115667110057255 0.000198265179677819 0.000153872785674444 0.000418731244329681 0.000785179732548154 0.000259920291110726 0.000404635972137923 0.00333620318553594 0.00140707868816972 0.000452056858707117 0.000564379585584133 0.000374271507244827 0.000643484080203856 0.000211947800284616 0.000496303842436591
"k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiales Family XI. Incertae Sedis;g__Peptoniphilus" 0 0 0 0 3.04627288512505e-05 8.03621654924861e-05 2.09744740650628e-05 0 4.87293813805034e-05 0.000111569786901707 2.14399039492303e-05 0 5.16502246784773e-05 0.000118139073317109 0.000153276280495593 0.000309798067986594 0 0.000140627197299958 0.000287273771904625 0 0 0.00285338015803336 7.34807847747814e-05 7.57212448572654e-05 8.49906510283869e-05 3.64458050878344e-05 2.63241023481099e-05 2.88583631536419e-05 0.000110363094581172 0 0 0 5.78837693910627e-05 0 0 0 0 0.00018479733891832 8.37567703389357e-05 0.000130087344359784 0.000133348149794422 0 5.14853524172373e-05 2.67716113832892e-05 8.94641099812125e-05 0.000106963311584127 0.000151061965618297 2.42518310132415e-05 0.000371492255815283 2.91928185666326e-05 0.000393004519551975 8.00149361214093e-05 0 0 5.92785796852307e-05 0 2.91154719618005e-05 4.90833681007191e-05 5.08039728706785e-05 0.000156386838483673 0 0 0 2.66759143169632e-05 0 2.78164116828929e-05 2.90723028171061e-05 2.74265653712186e-05 0 0 0 0 0 0 5.217981163088e-05 0 0 0.000364769863377106 0.000100262688243197 0 0.000230162840209448 5.77217235706658e-05 0.000253010828863475 0.000476962701516741 8.5404389785635e-05 0 5.14006682086867e-05 0 0.000294394724446538 0 0.000770395558271126 0 0.000190414014471465 0 0.00191827726325777 0 0 0 2.69084842450825e-05 0.00138428966939906 2.64158918005072e-05 2.25017438851511e-05 0.000141027147725937 9.37448733272399e-05 0.000322466221663281 0.000804257835600237 6.17493593503967e-05 0.000538277511961722 5.36797466315959e-05 0 0.000314617618586641 4.72690316938858e-05 0 0 0 0.000144583887571569 2.47831474597274e-05 3.84681964186109e-05 0 4.90737332842596e-05 5.77600646912725e-05 8.67077083152692e-05 0.000107619457597934 0.000811776166251759 2.51142699281732e-05 0.000120938482625171 0 0 6.0556514367033e-05 0
