"ICM_PML_Bv6..PML_39_2003_01_13" "ICM_PML_Bv6..PML_40_2003_03_31" "ICM_PML_Bv6..PML_41_2003_04_28" "ICM_PML_Bv6..PML_42_2003_05_26" "ICM_PML_Bv6..PML_43_2003_06_09" "ICM_PML_Bv6..PML_44_2003_07_07" "ICM_PML_Bv6..PML_45_2003_07_21" "ICM_PML_Bv6..PML_46_2003_08_04" "ICM_PML_Bv6..PML_47_2003_08_25" "ICM_PML_Bv6..PML_48_2003_09_29" "ICM_PML_Bv6..PML_49_2003_10_06" "ICM_PML_Bv6..PML_50_2003_12_08" "ICM_PML_Bv6..PML_51_2004_03_01" "ICM_PML_Bv6..PML_52_2004_03_15" "ICM_PML_Bv6..PML_53_2004_05_03" "ICM_PML_Bv6..PML_54_2004_05_31" "ICM_PML_Bv6..PML_55_2004_06_14" "ICM_PML_Bv6..PML_56_2004_06_21" "ICM_PML_Bv6..PML_57_2004_07_26" "ICM_PML_Bv6..PML_58_2004_08_23" "ICM_PML_Bv6..PML_59_2004_10_04" "ICM_PML_Bv6..PML_60_2004_10_25" "ICM_PML_Bv6..PML_61_2004_12_06" "ICM_PML_Bv6..PML_62_2004_12_20" "ICM_PML_Bv6..PML_63_2005_01_24" "ICM_PML_Bv6..PML_64_2005_02_28" "ICM_PML_Bv6..PML_65_2005_04_18" "ICM_PML_Bv6..PML_66_2005_05_04" "ICM_PML_Bv6..PML_67_2005_06_06" "ICM_PML_Bv6..PML_68_2005_06_20" "ICM_PML_Bv6..PML_69_2005_07_25" "ICM_PML_Bv6..PML_70_2005_08_15" "ICM_PML_Bv6..PML_71_2005_09_19" "ICM_PML_Bv6..PML_72_2005_10_17" "ICM_PML_Bv6..PML_73_2005_11_15" "ICM_PML_Bv6..PML_74_2005_12_05" "ICM_PML_Bv6..PML_75_2006_01_03" "ICM_PML_Bv6..PML_76_2006_03_06" "ICM_PML_Bv6..PML_77_2006_03_20" "ICM_PML_Bv6..PML_78_2006_04_11" "ICM_PML_Bv6..PML_79_2006_05_04" "ICM_PML_Bv6..PML_80_2006_06_06" "ICM_PML_Bv6..PML_81_2006_06_27" "ICM_PML_Bv6..PML_82_2006_07_17" "ICM_PML_Bv6..PML_83_2006_08_22" "ICM_PML_Bv6..PML_84_2006_09_12" "ICM_PML_Bv6..PML_85_2006_10_30" "ICM_PML_Bv6..PML_86_2006_12_12" "ICM_PML_Bv6..PML_0001_2007_02_16" "ICM_PML_Bv6..PML_0002_2007_03_07" "ICM_PML_Bv6..PML_0003_2007_03_26" "ICM_PML_Bv6..PML_0004_2007_04_23" "ICM_PML_Bv6..PML_0005_2007_05_08" "ICM_PML_Bv6..PML_0006_2007_06_04" "ICM_PML_Bv6..PML_0007_2007_06_25" "ICM_PML_Bv6..PML_0008_2007_07_30" "ICM_PML_Bv6..PML_0009_2007_08_20" "ICM_PML_Bv6..PML_0010_2007_09_29" "ICM_PML_Bv6..PML_0011_2007_10_25" "ICM_PML_Bv6..PML_0012_2007_12_12" "ICM_PML_Bv6..PML_0017_2008_02_20" "ICM_PML_Bv6..PML_0018_2008_03_05" "ICM_PML_Bv6..PML_0019_2008_03_17" "ICM_PML_Bv6..PML_0020_2008_04_21" "ICM_PML_Bv6..PML_0021_2008_05_06" "ICM_PML_Bv6..PML_0022_2008_06_02" "ICM_PML_Bv6..PML_0023_2008_06_23" "ICM_PML_Bv6..PML_0024_2008_07_21" "ICM_PML_Bv6..PML_0025_2008_08_20" "ICM_PML_Bv6..PML_0026_2008_09_22" "ICM_PML_Bv6..PML_0027_2008_10_27" "ICM_PML_Bv6..PML_0028_2008_12_08"
"Bacteria;Acidobacteria;Holophagae;order_NA;family_NA;genus_NA" 8.32385338919564e-05 0 0.000135438957661782 0 0 0.000630309673883256 0.000108994795498515 0 0.000461555169417897 5.47285464098074e-05 0.000109415175884895 0.0003918714661591 0 0 8.11073861793014e-05 0 0 0.000190657769304099 0.00029935231045556 0 0.000277569600577345 0.000167158856633421 0.00016928589566346 0.000343928233641913 0.00096440469928108 0.000192482195396926 0.000192445153131358 0.000119125617964143 0.00014339384553615 0 0.00239438557864318 0.000626634699215344 0.000111585348843697 0.000194374253741704 5.77700751010976e-05 0.000117987139401805 0.000341666192130289 0 0 0.000192101868876753 0 0 0.000164253059213228 0 0.000190673349313576 0 0.00014107157971955 0.000349416183792913 0.00015236470014627 0.000208955223880597 0.000112466962829669 0 8.31923684867308e-05 0 0 0 0 0 0.000172117039586919 0 0.000277200277200277 0.000288733614367385 0.000277008310249308 0 9.15136355316942e-05 0 0 0 0.0002511861568518 0.00024740227610094 0.000495626822157434 0.000145458776982603
"Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;Acidimicrobiaceae;genus_NA" 0.000166477067783913 0 0 0 0 0 0.000517725278617946 0.000164158686730506 0 0 0.000109415175884895 0 0 0 0 0.000162628069604814 0 0 0 0 0 8.35794283167103e-05 5.64286318878199e-05 0 0.00049681454205389 0.0001099898259411 0.000274921647330511 0.000446721067365537 0 0.00031590132391373 0.00222925553873676 0.000163469921534438 0.000613719418640333 8.33032516035876e-05 0 0.000117987139401805 0.000256249644097717 0 0.00013815207780725 0.000192101868876753 0.000135571161302568 0.00036046028004991 0.000520134687508555 0 0.000108956199607758 0.000694695306638508 0.000705357898597749 8.73540459482282e-05 6.0945880058508e-05 0.000298507462686567 0.00070291851768543 0.000443754160195252 0.000748731316380577 0.000580568376440535 0.00111522141225112 0.000303540384668451 0.00113194003478645 0.000466174897852853 0.000975329890992542 0.00256466824775247 0.000720720720720721 0.000288733614367385 0.000138504155124654 0.000356946732564525 0.000671099993899091 0.00159441405283558 0.00154172287531316 0.000255616461700133 0.000837287189506001 0.000357358843256914 0.00032069970845481 0
"Bacteria;Actinobacteria;Acidimicrobiia;Acidimicrobiales;family_NA;genus_NA" 0.0030520795760384 0.00164226084576434 0.000379229081452989 0.000461079468402495 0.000108524607954854 0 0.000517725278617946 0.000164158686730506 0.00347523892267593 0.00082092819614711 0.00109415175884895 0.00268711862509097 0.00393505778756192 0.0037567182187123 0.000135178976965502 0.000704721634954193 0.000733356873183584 0.000381315538608198 0 0.00194278634981417 0.00124906320259805 0.00275812113445144 0.00251107411900798 0 0.010403880998305 0.00624192262215745 0.00112717875405509 0.00184644707844422 0.000573575382144598 0.000488211136957583 0.00104582358607403 0.00158020924149956 0.00410076157000586 0.00430400133285203 0.00176198729058348 0.00356911096690461 0.00654860201583053 0.00198068828918049 0.00273541114058355 0.00137215620626252 0.000406713483907703 0.000277277138499931 0 0.000192598706837254 0.000190673349313576 0.00138939061327702 0.00361143244082047 0.00716303176775471 0.00953803022915651 0.0125671641791045 0.0176854299049654 0.00355003328156201 0.00257896342308866 0.00438329124212604 0.00413447938200413 0.00333894423135296 0.00651555727340493 0.00148079085200318 0.0157773952954676 0.00170977883183498 0.0111711711711712 0.00603453254027834 0.00554016620498615 0.00109829763866008 0.00158623634921603 0.000357368667014872 0.00324863034440988 0.00124968047942287 0.0025955902874686 0.00335367529825719 0.00495626822157434 0.00695292953976843
"Bacteria;Actinobacteria;Actinobacteria;Corynebacteriales;Corynebacteriaceae;Corynebacterium" 0.00252490219472268 0.00364034487477761 0.00167944307500609 0.000786547328451315 0.000895328015627544 0.000356261989586188 0.000326984386495545 0.000164158686730506 0.000651607298001738 0.000136821366024518 0.0011488593467914 0.00100766948440911 0.00123830489818382 0.00170012065372381 0.000216286363144804 0.000704721634954193 0.00247168427628541 0.00264197194607109 0.000217710771240407 0.000844689717310508 0.000860465761789769 0.000640775617094779 0.00115678695370031 0.00338196096414548 0.00105207785376118 0.00118239062886683 0.000962225765656788 0.000982786348204181 0.00100375691875305 0.000459492834783608 0.00118343195266272 0.00144398430688753 0.00142271319775713 0.000777497014966818 0.0207972270363951 0.000766916406111734 0.0023631911622345 0.000522681631867074 0.000414456233421751 0.000878179972008013 0.00154551123884927 0.000471371135449882 0 0.00297152290548906 0.000980605796469819 0.000333453747186484 0.000310357475383009 0.000902658474798358 0.00045709410043881 0.000208955223880597 0.000309284147781589 0 0.000443692631929231 0 0 8.27837412732139e-05 0 5.48441056297474e-05 8.60585197934596e-05 0.000137885389664111 0.000443520443520443 0.00210775538488191 0.000581717451523546 0.0014552443712246 0.00149472271368434 0.000522308051790967 0.000165184593783553 0.000624840239711437 0.000418643594753 0.000714717686513827 0.000699708454810496 0.00046546808634433
"Bacteria;Actinobacteria;Actinobacteria;Micrococcales;Microbacteriaceae;genus_NA" 0.000499431203351738 0.000191597098672506 0 0.00021697857336588 0.000189918063920994 0.000191833379007947 0 8.20793433652531e-05 0 0 0 0 0.000165107319757843 0 0.000135178976965502 0 0 0 0 0.000225250591282802 0.000666167041385627 0.000306457903827938 0.00011285726377564 0 0.00049681454205389 0 0.000192445153131358 0.00175710286497111 0.00014339384553615 0.000488211136957583 0.000137608366588689 0 0.000111585348843697 8.33032516035876e-05 0.000433275563258232 0.00117987139401805 0.000113888730710096 0.000247586036147561 0.00013815207780725 0.000493976234254508 0 5.54554276999861e-05 0 0 0.000190673349313576 0.000333453747186484 0.00124142990153204 0 0.00161506582155046 0.00940298507462687 0.000112466962829669 0.0016918127357444 0.000138653947477885 8.70852564660803e-05 0.00144162767925144 0.00160048566461547 0.00621186604455979 0.0138481366715112 0.013912794033276 0.0112790248745243 0 0.000144366807183692 0.000581717451523546 0 9.15136355316942e-05 0 0.00261542273490626 0 0.00186994138989673 0 0.000174927113702624 0.000145458776982603
"Bacteria;Actinobacteria;Actinobacteria;Propionibacteriales;Propionibacteriaceae;Propionibacterium" 0.000582669737243695 0.00199808402901328 0 0.00010848928668294 0.000298442671875848 0 0.00021798959099703 8.20793433652531e-05 0.00019005212858384 0 0.00035559932162591 0.000811733751329564 0.000110071546505228 0 0 0.000243942104407221 0.000298775022408127 0.0011167097916383 0 0 8.32708801732034e-05 0.000390037332144648 0.00011285726377564 0.00160499842366226 0.000175346308960196 0 0.000192445153131358 0.000119125617964143 0 0.000143591510869877 0 0 0 5.55355010690584e-05 0.00892547660311958 0.000766916406111734 0.000626388018905529 8.25286787158538e-05 0 0.000109772496501002 0.000135571161302568 0 0 0.000192598706837254 0.000190673349313576 0 0 0 0.00134080936128718 0.000507462686567164 0.00323342518135298 0.000221877080097626 0.00174703973822135 0.000174170512932161 8.16015667500816e-05 8.27837412732139e-05 0 0 0.000315547905909352 8.27312337984667e-05 0.000443520443520443 0.000981694288849108 0.000277008310249308 0.000356946732564525 0.000244036361417851 0 0.000302838421936514 0 0 0.00024740227610094 0.000233236151603499 0.000320009309361727
"Bacteria;Actinobacteria;class_NA;order_NA;family_NA;genus_NA" 0.000249715601675869 0.000191597098672506 0 0.00021697857336588 0 0.000191833379007947 0 8.20793433652531e-05 0 0 0.000328245527654686 0.000615798018250014 0.000165107319757843 0 0 0 0.000570388679142787 0.000190657769304099 0 0.00149228516724856 0.000194298720404141 0.000167158856633421 0.00011285726377564 0.000171964116820957 0.000759834005494184 0 8.24764941991532e-05 0.000119125617964143 0 0.000172309813043853 0 0.000163469921534438 0.000111585348843697 0.000194374253741704 0.000115540150202195 0.000442451772756769 0.000398610557485337 0.000247586036147561 0.00013815207780725 0.000384203737753506 0.000135571161302568 0 0 0 0.00049030289823491 0.0047517158974074 0.000620714950766019 0.000262062137844685 0.000883715260848367 0.000716417910447761 0.000618568295563178 0.000360550255158642 0.000443692631929231 0.000261255769398241 0.000136002611250136 0.000303540384668451 0.000441732696502029 0.000466174897852853 0.00226620768789443 0.000772158182119023 0.000582120582120582 0.000288733614367385 0.000581717451523546 0 0.000488072722835703 0.000164939384776095 0 0.000255616461700133 0.000307005302818867 0 0.000233236151603499 0.000145458776982603
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides" 8.32385338919564e-05 0 0 0 0.000108524607954854 0.00956426418196766 0.00463227880868688 0.000519835841313269 0.0014118158123371 0.000383099824868651 5.47075879424476e-05 0.00019593573307955 0 0 0.000216286363144804 0.000162628069604814 0.00013580682836733 0.000762631077216397 0.00718445545093343 0 0.000194298720404141 0.000250738284950131 0 0 2.92243848266994e-05 0 0 0.000119125617964143 0 0.000258464719565779 0.00118343195266272 0.00144398430688753 0 0.000249909754810763 0.000259965337954939 0.000766916406111734 0 0 0.00013815207780725 0.000109772496501002 0 0.00590600305004852 0.00224479180924745 0.00258632549181455 0.00247875354107649 0.0015839052991358 0.00014107157971955 0.000174708091896456 0.000365675280351048 0.00346268656716418 0.000618568295563178 0 0 0.000406397863508375 0.00565770862800566 0.00637434807803747 0.000745423925347174 0.000137110264074369 0.000315547905909352 0.000137885389664111 0.000277200277200277 0.000288733614367385 0 0 9.15136355316942e-05 0.000164939384776095 0.0118932907524158 0.00817972677440427 0.00418643594753 0.00131947880587168 0.000233236151603499 0
"Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;family_NA;genus_NA" 0.000249715601675869 0.000547420281921445 0 0.000786547328451315 0.000189918063920994 0.000822143052891203 0.00114444535273441 0 0.00168331885317116 0.00051992119089317 0.000519722085453252 0.000531825561215921 0.000715465052283985 0.000685532521662828 0.000135178976965502 0 0.000869163701550914 0.000953288846520496 0.00029935231045556 0.00149228516724856 0.00124906320259805 0 0.000479643371046469 0 0.000263019463440295 0.000302472021338026 0.000384890306262715 0.000119125617964143 0.000430181536608449 0.000545647741305534 0.00148617035915784 0.000163469921534438 0.000613719418640333 0.0011384777719157 0.000577700751010976 0.0010913810394667 0.000113888730710096 0.000962834585018294 0.000469717064544651 0 0.000569398877470784 0.00036046028004991 0.00273755098688713 0.000990507635163021 0.000680976247548486 0.000639119682107428 0.00160821600880287 0.000262062137844685 0.000365675280351048 0.00113432835820896 0.000112466962829669 0.000221877080097626 0.000748731316380577 0 0.00130562506800131 0.00035872954551726 0 0.000658129267556969 0.000401606425702811 0.000137885389664111 0.000277200277200277 0.000433100421551077 0.000415512465373961 0 0 0.000714737334029744 0.00231258431296974 0 0.000474462740720067 0.00214415305954148 0.000116618075801749 0.00046546808634433
"Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum" 0.00313531810993036 0.0060216231011359 0.00219411111412087 0.000786547328451315 0.000298442671875848 0.00287750068511921 0.00125344014823292 8.20793433652531e-05 0.00122176368375326 0.00757990367775832 0.00478691394496417 0.00201533896881823 0.00200880572372042 0.00408577382911045 0.000135178976965502 0.00642380874939015 0.000298775022408127 0.00264197194607109 0.000108855385620204 0.000422344858655254 0.00124906320259805 0.000947233520922717 0.000338571791326919 0.000544553036599696 0.00306856040680344 0.00126488299832266 0.00104470225985594 0.00437786646018226 0.000860363073216898 0.00246977398696189 0.000743085179578918 0.000326939843068875 0.00387759087231846 0.0058034598617166 0.000202195262853842 0.000324464633354964 0.00148055349923125 0.00112789194245 0.000746021220159151 0.000384203737753506 0.000569398877470784 0.000831831415499792 0.000520134687508555 0.000192598706837254 0.000408585748529091 0.00202851029538444 0.00361143244082047 0.00305739160818799 0.00274256460263286 0.00265671641791045 0.0055671146600686 0.00124805857554915 0.000305038684451346 0.000174170512932161 0.000217604178000218 0.000938215734429758 0.000993898567129566 0.00101461595415033 0.0044750430292599 0.00190281837736473 0.00781704781704782 0.00433100421551077 0.00939058171745152 0.000356946732564525 0.000152522725886157 0.00302388872089507 0.00217493048481678 0.00502712374676929 0.00382361149874407 0.000962119962614767 0 0.00253098271949729
"Bacteria;Bacteroidetes;Flavobacteriia;Flavobacteriales;Cryomorphaceae;Crocinitomix" 0 0.000191597098672506 0 0 0 0 0 0.000164158686730506 0 0.000766199649737303 5.47075879424476e-05 5.59816380227285e-05 0 0 0 0 0 0.000571973307912297 0 0 0.000388597440808283 0.000250738284950131 0.000761786530485568 0.000171964116820957 0.000116897539306798 0.0001099898259411 0.000384890306262715 0.000327595449401394 0.000716969227680748 0.000660520950001436 0.000302738406495115 0.00095357454228422 0.000418445058163863 0.000249909754810763 0 0 0 0 0 0.000878179972008013 0 5.54554276999861e-05 0 0 0.000299629548921334 5.55756245310807e-05 0.000451429055102559 0.00081530442885013 0.00109702584105314 0.000298507462686567 0.000618568295563178 0.000138673175061016 0 8.70852564660803e-05 0 0.000303540384668451 0.000138041467656884 0.000329064633778485 0.000745840504876649 0 0.00116424116424116 0.00265634925217994 0.00354570637119114 0.0014552443712246 0.000335549996949545 0 0.000468023015720067 0.000369223778011304 0.00186994138989673 0.000357358843256914 0 0.00110548670506778
